LAMMPS data file via write_data, version 22 Jul 2025, timestep = 4850000, units = metal

3000 atoms
2 atom types

0.8604962053299055 32.3395037946688 xlo xhi
0.8604962053299055 32.3395037946688 ylo yhi
0.8604962053299055 32.3395037946688 zlo zhi

Masses

1 12.01099999691024
2 28.08499999277529

Atoms # atomic

1713 1 2.376933350984263 3.8930388556300475 1.4827410160970504 -2 3 -1
1077 2 3.8641932170595874 3.9044573325071847 2.6196169369030846 1 -1 2
1805 1 3.3155187937311204 3.92519385971119 4.401168292228093 3 1 3
580 2 3.9712275087462428 2.2780002413872573 5.259703307687766 7 0 0
903 2 3.89044603094458 5.468040740727535 5.313899894274323 1 3 -3
2912 1 4.828170941094484 2.370591777792924 2.1966444909883824 -5 4 -5
2452 1 4.778796564749776 5.480919648518539 2.2115514732842807 -2 1 -6
1121 2 1.4910726893481285 3.851768144259293 4.616826162478402 -2 0 -2
1067 2 1.417737142185021 5.428589649335735 2.026168255988155 0 3 1
1437 2 1.3535532772305943 2.294997243594091 1.9817535993202826 0 -1 8
2534 1 5.758164800994956 5.595277583857109 5.119908616999512 1 -1 8
1697 1 5.835742409362312 2.4079192905496836 5.071271509835559 10 0 -1
1372 2 6.327071465906888 2.468523131248297 3.246799276246131 -5 0 -1
180 2 6.27928591762638 5.601943743371936 3.292459683050135 2 -7 0
1839 1 8.294182183435952 4.110043787814751 5.69069817370157 0 -2 2
1302 2 8.88793751118262 4.1819154502387725 3.874976790398925 -6 -4 2
2169 1 7.3367747529783305 4.011249926698554 2.8402050730253823 3 1 -4
17 2 6.475620745785089 3.989377090619482 5.8994450465223816 -2 0 -1
2082 1 9.929367706287978 2.54908863447616 3.5417121683598847 3 6 2
2078 1 9.913139604756124 5.760893379827477 3.4093250020940453 3 6 -4
1035 2 10.265926128631513 2.5571706729950714 1.6545988935925364 5 -1 3
33 2 10.495694026278947 5.659991984558218 1.6429730333170458 4 -1 -7
274 2 7.814558268815604 4.059661108178883 1.0409932693038473 5 -2 -1
1964 1 8.354332227777501 0.9297216354511636 5.6362919696786475 6 0 -5
992 2 8.866383852044446 0.9720702792832422 3.84971307516217 -3 0 -1
997 2 7.787533736399092 0.8819355610077737 1.000493430358923 -4 -7 5
1826 1 9.699325564833197 4.122071400030714 0.898845362326302 3 2 -1
1673 1 7.307300329730423 0.8828366142402733 2.8537228192399255 9 6 -1
916 2 11.466360979404453 5.728564894977292 4.4815215484715685 1 2 -2
464 2 11.439640820866158 2.608849297133012 4.475089779278379 1 1 -1
763 2 13.919941471004112 1.1691068502908875 5.164990455984761 -3 -3 3
315 2 13.95668248400305 4.2990606653116625 5.1419008150111525 -3 0 -5
2282 1 14.717421810481689 1.2149605626345812 2.0830637800819147 -1 7 -2
2565 1 12.439367184931058 1.0366585328240425 4.14753537666418 4 -2 4
160 2 12.85869855949946 1.0619642526414248 2.3358387394882603 1 1 2
1709 1 12.433954486748084 4.189478469928563 4.028823745833887 -1 0 -1
1630 1 12.195463157750655 2.586595489023214 1.4298766677830004 5 1 1
1700 1 14.804744057040978 4.309973523256177 2.0880117031314676 -1 3 1
269 2 12.924279709559912 4.147751438033088 2.2441969614473516 -2 9 3
690 2 15.480505666852894 2.7354095221594177 2.9750578254779825 4 -1 3
2840 1 14.887426130207697 2.775397223398512 4.768962709112185 3 -1 1
2125 1 12.333803021888206 5.714013589231728 1.4347654809318253 5 0 1
889 2 15.47687312515432 5.985918767634035 2.863784932016099 -2 0 2
2420 1 14.931207533395646 5.9144729769439675 4.655555790979722 -8 -3 4
805 2 16.451285883113105 2.873888448016199 5.711865432571368 1 -3 2
501 2 16.494714550665186 6.081818225030006 5.619246865873022 -4 1 0
2019 1 19.963412827160106 1.5259989801643277 3.225911216627596 -5 6 2
816 2 20.461994039562843 5.060469711101152 1.5623573844429681 -6 -4 1
2774 1 17.43194698608061 1.3546225598757733 5.218573810372851 1 0 5
353 2 18.031888175769648 1.3244666038908512 3.4745999326720636 -1 0 5
188 2 18.019284239993347 4.528604738656358 3.406544090586346 -1 4 0
2290 1 17.49961496647789 4.477260581401229 5.259739906314167 6 3 2
1766 1 17.339355646110334 2.890006923187442 2.621627709464632 1 2 -1
2085 1 19.951432544281527 4.808272651306732 3.3242685926551303 5 -3 1
2004 1 20.04738910533224 3.05679585557099 5.867473132094443 3 -3 1
939 2 20.56579604757121 3.1827423586201533 4.095146175543702 -6 6 1
21 2 20.542243233179274 2.265942367226776 1.5316262785999113 -4 -1 3
1481 2 25.591354041111135 3.5725681648317567 5.438227750511736 5 -5 6
2529 1 24.904281698736575 3.512641482363915 1.8415862149125994 2 3 -4
1455 2 25.504077697699373 2.065606620103276 2.8052871732739932 -3 0 -1
1767 1 24.88180090340321 1.983647468833715 4.559229505334055 0 3 0
1662 1 22.394403673544563 2.1149985829946356 1.2410355094645984 1 -3 2
699 2 25.51708913792259 5.073689688303173 2.7467422744675227 0 4 4
2018 1 24.848401270180943 5.044879213311015 4.5894145458283555 3 3 1
261 2 23.02588650173205 1.933009795207451 4.7397692683660875 0 -3 0
1053 2 22.961853582959122 4.811814183239104 4.839611766286973 -7 1 -2
1503 1 22.38188968017672 3.4024060579159814 3.8510539693871784 2 4 -5
2305 1 22.33823477903466 5.085448404479239 1.2025959933024752 -4 -7 -7
412 2 23.094217657710036 3.5870367388902222 2.1272918896096016 4 4 -3
2947 1 32.25194216617046 5.447880297615484 3.7669189431604115 -4 5 3
1142 2 28.0296548907764 2.114298361961782 6.072993980137031 -3 -2 0
